2022-08-24T14:06:14.833,FD,14, 0, 0,B2, 1, 1,    F1,mavlink_vibration_t,time_usec,7821641856,vibration_x,0,089898,vibration_y,0,04356302,vibration_z,0,07236429,clipping_0,0,clipping_1,0,clipping_2,0,,sig ,Len,32,crc16,10322
2022-08-24T14:06:14.844,FD,32, 0, 0,B3, 1, 1,    57,mavlink_position_target_global_int_t,time_boot_ms,7821641,lat_int,0,lon_int,0,alt,100,vx,0,vy,0,vz,0,afx,0,afy,0,afz,0,yaw,0,yaw_rate,0,type_mask,65016,coordinate_frame,0,,sig ,Len,62,crc16,38917
2022-08-24T14:06:14.846,FD, 4, 0, 0,B4, 1, 1,  2B0C,mavlink_aoa_ssa_t,time_usec,3526674602,AOA,0,SSA,0,,sig ,Len,16,crc16,22996
2022-08-24T14:06:15.743,FD, 9, 0, 0,B6, 1, 1,     0,mavlink_heartbeat_t,custom_mode,11,type,1,autopilot,3,base_mode,89,system_status,5,mavlink_version,3,,sig ,Len,21,crc16,16913
2022-08-24T14:06:15.750,FD,1C, 0, 0,B7, 1, 1,    1E,mavlink_attitude_t,time_boot_ms,7822661,roll,0,01256149,pitch,0,2520215,yaw,-2,484488,rollspeed,0,02421841,pitchspeed,0,3126752,yawspeed,0,01101922,,sig ,Len,40,crc16,20985
2022-08-24T14:06:15.757,FD,1C, 0, 0,B8, 1, 1,    21,mavlink_global_position_int_t,time_boot_ms,7822661,lat,0,lon,0,alt,-1720,relative_alt,-1723,vx,0,vy,0,vz,0,hdg,21765,,sig ,Len,40,crc16,52526
2022-08-24T14:06:15.764,FD,1F, 0, 0,B9, 1, 1,     1,mavlink_sys_status_t,onboard_control_sensors_present,325188655,onboard_control_sensors_enabled,272759855,onboard_control_sensors_health,51444751,load,19,voltage_battery,0,current_battery,-1,drop_rate_comm,0,errors_comm,0,errors_count1,0,errors_count2,0,errors_count3,0,errors_count4,0,battery_remaining,-1,,sig ,Len,43,crc16,45246
2022-08-24T14:06:15.767,FD, 2, 0, 0,BA, 1, 1,    7D,mavlink_power_status_t,Vcc,5045,Vservo,0,flags,0,,sig ,Len,14,crc16,12221
2022-08-24T14:06:15.770,FD, 7, 0, 0,BB, 1, 1,    98,mavlink_meminfo_t,brkval,0,freemem,65535,freemem32,571712,,sig ,Len,19,crc16,4607
2022-08-24T14:06:15.774,FD, C, 0, 0,BC, 1, 1,    3E,mavlink_nav_controller_output_t,nav_roll,0,nav_pitch,0,alt_error,101,68,aspd_error,0,xtrack_error,0,nav_bearing,0,target_bearing,0,wp_dist,0,,sig ,Len,24,crc16,60295
2022-08-24T14:06:15.776,FD, 1, 0, 0,BD, 1, 1,    2A,mavlink_mission_current_t,seq,0,,sig ,Len,13,crc16,21543
2022-08-24T14:06:15.782,FD,11, 0, 0,BE, 1, 1,    4A,mavlink_vfr_hud_t,airspeed,0,groundspeed,0,alt,-1,72,climb,0,heading,217,throttle,0,,sig ,Len,29,crc16,25544
